"Universität";"Jamovi";"JASP";"JMP";"MATLAB";"Minitab";"NumPy";"R";"S_Plus";"SPSS";"Stata";"SYSTAT"
NA;0;0;0;0;0;0;1;0;1;0;0
NA;0;0;0;0;0;0;1;0;1;0;0
NA;0;1;0;0;0;0;1;0;0;0;0
NA;0;0;0;0;0;0;1;0;0;0;0
NA;0;0;0;0;0;0;1;0;0;0;0
NA;1;0;0;0;0;0;1;0;1;0;0
NA;0;0;0;1;0;0;1;0;1;0;0
NA;0;0;0;0;0;0;1;0;0;0;0
NA;0;0;0;0;0;0;1;0;0;0;0
NA;0;0;0;0;0;0;1;0;1;0;0
NA;0;0;0;0;0;0;1;0;0;0;0
NA;1;1;0;0;0;0;1;0;1;0;0
NA;0;0;0;0;0;0;1;0;0;0;0
NA;0;0;0;0;0;0;1;0;0;0;0
NA;0;1;0;0;0;0;1;0;0;0;0
NA;0;0;0;0;0;0;1;0;0;0;0
NA;0;1;0;1;0;0;1;0;1;0;0
NA;0;0;0;0;0;0;1;0;0;0;0
NA;0;0;0;0;0;0;1;0;0;0;0
NA;1;0;0;0;0;0;1;0;0;0;0
NA;0;0;0;0;0;0;1;0;0;0;0
NA;0;0;0;0;0;0;1;0;0;0;0
NA;0;0;0;0;0;0;0;0;1;0;0
NA;0;0;0;0;0;0;1;0;0;0;0
NA;1;1;0;0;0;0;1;0;0;0;0
NA;0;0;0;0;0;0;1;0;0;0;0
NA;0;0;0;0;0;0;1;0;1;0;1
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;0;0;0;0;0;0;1;0;0;0;0
NA;0;1;0;1;0;0;1;0;1;0;0
NA;0;1;0;0;0;0;1;0;1;0;0
NA;0;0;0;0;0;0;1;0;0;0;0
NA;1;1;0;1;0;0;1;0;0;0;0
NA;0;0;0;0;0;0;1;0;0;0;0
